STATE,YEAR,INCOME
Australian Capital Territory,2020,1504.666667
Australian Capital Territory,2021,1525.033333
Australian Capital Territory,2022,1558.483333
Australian Capital Territory,2023,1640.466667
Australian Capital Territory,2024,1676.966667
New South Wales,2020,1316.3
New South Wales,2021,1349.2
New South Wales,2022,1376.75
New South Wales,2023,1425.266667
New South Wales,2024,1503.833333
Northern Territory,2020,1411.85
Northern Territory,2021,1387.666667
Northern Territory,2022,1444.5
Northern Territory,2023,1477
Northern Territory,2024,1524.366667
Queensland,2020,1246.583333
Queensland,2021,1281.766667
Queensland,2022,1348.033333
Queensland,2023,1404.583333
Queensland,2024,1488.366667
South Australia,2020,1147.95
South Australia,2021,1198.483333
South Australia,2022,1250.116667
South Australia,2023,1279
South Australia,2024,1336.466667
Tasmania,2020,1081.233333
Tasmania,2021,1128.05
Tasmania,2022,1181.95
Tasmania,2023,1220.216667
Tasmania,2024,1253.466667
Victoria,2020,1277.4
Victoria,2021,1278.2
Victoria,2022,1313.8
Victoria,2023,1388.433333
Victoria,2024,1440.033333
Western Australia,2020,1385.816667
Western Australia,2021,1435.283333
Western Australia,2022,1508.816667
Western Australia,2023,1540.283333
Western Australia,2024,1570.7
